0.0     <= x <    60.0; y_0     =   85.0 + -0.625000x  +       0.000000x^2  +  0.000035x^3; Cubic Spline
1560.0  <= x <  1620.0; y_52    =   70.0 +  0.033333x  +       0.000000x^2  + -0.000028x^3; Cubic Spline
1590.0  <= x <  1650.0; y_53    =   68.0 +  0.483333x  +       0.000000x^2  + -0.000005x^3; Cubic Spline
1620.0  <= x <  1680.0; y_54    =   82.0 + -0.516667x  +       0.000000x^2  +  0.000032x^3; Cubic Spline
1650.0  <= x <  1710.0; y_55    =   70.0 + -0.066667x  +       0.000000x^2  + -0.000000x^3; Cubic Spline
1680.0  <= x <  1740.0; y_56    =   68.0 +  0.075000x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
1710.0  <= x <  1770.0; y_57    =   70.0 + -0.033333x  +       0.000000x^2  + -0.000000x^3; Cubic Spline
1740.0  <= x <  1800.0; y_58    =   69.0 +  0.033333x  +      -0.000000x^2  +  0.000000x^3; Cubic Spline
1770.0  <= x <  1830.0; y_59    =   70.0 +  0.116667x  +       0.000000x^2  + -0.000042x^3; Cubic Spline
1800.0  <= x <  1860.0; y_60    =   69.0 +  0.591667x  +      -0.000000x^2  +  0.000012x^3; Cubic Spline
1830.0  <= x <  1890.0; y_61    =   88.0 + -0.958333x  +       0.000000x^2  +  0.000044x^3; Cubic Spline
1860.0  <= x <  1920.0; y_62    =   64.0 +  0.400000x  +      -0.000000x^2  + -0.000065x^3; Cubic Spline
1890.0  <= x <  1950.0; y_63    =   69.0 +  0.775000x  +      -0.000000x^2  + -0.000002x^3; Cubic Spline
1920.0  <= x <  1980.0; y_64    =   92.0 + -0.733333x  +       0.000000x^2  +  0.000000x^3; Cubic Spline
1950.0  <= x <  2010.0; y_65    =   70.0 +  0.875000x  +       0.000000x^2  + -0.000039x^3; Cubic Spline
1980.0  <= x <  2040.0; y_66    =   92.0 + -0.200000x  +       0.000000x^2  +  0.000009x^3; Cubic Spline
2010.0  <= x <  2070.0; y_67    =   87.0 + -0.108333x  +      -0.000000x^2  +  0.000039x^3; Cubic Spline
2040.0  <= x <  2100.0; y_68    =   88.0 + -0.775000x  +      -0.000000x^2  +  0.000049x^3; Cubic Spline
2070.0  <= x <  2130.0; y_69    =   70.0 + -0.125000x  +       0.000000x^2  +  0.000007x^3; Cubic Spline
2100.0  <= x <  2160.0; y_70    =   67.0 +  0.025000x  +      -0.000000x^2  + -0.000007x^3; Cubic Spline
2130.0  <= x <  2190.0; y_71    =   67.0 +  0.116667x  +      -0.000000x^2  + -0.000005x^3; Cubic Spline
2160.0  <= x <  2220.0; y_72    =   70.0 +  0.116667x  +       0.000000x^2  + -0.000042x^3; Cubic Spline
2190.0  <= x <  2250.0; y_73    =   69.0 +  0.791667x  +       0.000000x^2  + -0.000044x^3; Cubic Spline
2220.0  <= x <  2280.0; y_74    =   88.0 + -0.166667x  +      -0.000000x^2  +  0.000046x^3; Cubic Spline
2250.0  <= x <  2310.0; y_75    =   88.0 + -0.825000x  +       0.000000x^2  +  0.000044x^3; Cubic Spline
2280.0  <= x <  2340.0; y_76    =   68.0 +  0.025000x  +      -0.000000x^2  +  0.000002x^3; Cubic Spline
2310.0  <= x <  2370.0; y_77    =   69.0 +  0.025000x  +       0.000000x^2  + -0.000025x^3; Cubic Spline
2340.0  <= x <  2400.0; y_78    =   67.0 +  0.591667x  +       0.000000x^2  + -0.000044x^3; Cubic Spline
2370.0  <= x <  2430.0; y_79    =   80.0 +  0.125000x  +      -0.000000x^2  +  0.000021x^3; Cubic Spline
2400.0  <= x <  2460.0; y_80    =   86.0 + -0.483333x  +      -0.000000x^2  + -0.000005x^3; Cubic Spline
2430.0  <= x <  2490.0; y_81    =   71.0 +  0.700000x  +      -0.000000x^2  + -0.000037x^3; Cubic Spline
2460.0  <= x <  2520.0; y_82    =   88.0 + -0.050000x  +       0.000000x^2  +  0.000005x^3; Cubic Spline
2490.0  <= x <  2550.0; y_83    =   87.0 + -0.066667x  +      -0.000000x^2  +  0.000009x^3; Cubic Spline
2520.0  <= x <  2580.0; y_84    =   86.0 + -0.100000x  +       0.000000x^2  + -0.000000x^3; Cubic Spline
2550.0  <= x <  2610.0; y_85    =   83.0 +  0.000000x  +      -0.000000x^2  +  0.000028x^3; Cubic Spline
2580.0  <= x <  2640.0; y_86    =   86.0 + -0.491667x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
2610.0  <= x <  2670.0; y_87    =   71.0 +  0.625000x  +       0.000000x^2  + -0.000025x^3; Cubic Spline
2640.0  <= x <  2700.0; y_88    =   87.0 + -0.158333x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
2670.0  <= x <  2730.0; y_89    =   82.0 +  0.216667x  +      -0.000000x^2  + -0.000005x^3; Cubic Spline
2700.0  <= x <  2760.0; y_90    =   88.0 + -0.300000x  +       0.000000x^2  +  0.000046x^3; Cubic Spline
2730.0  <= x <  2790.0; y_91    =   84.0 + -0.516667x  +       0.000000x^2  + -0.000005x^3; Cubic Spline
2760.0  <= x <  2820.0; y_92    =   68.0 +  0.600000x  +       0.000000x^2  + -0.000000x^3; Cubic Spline
2790.0  <= x <  2850.0; y_93    =   86.0 + -0.591667x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
2820.0  <= x <  2880.0; y_94    =   68.0 +  0.641667x  +      -0.000000x^2  + -0.000002x^3; Cubic Spline
2850.0  <= x <  2910.0; y_95    =   87.0 + -0.741667x  +       0.000000x^2  +  0.000039x^3; Cubic Spline
2880.0  <= x <  2940.0; y_96    =   69.0 +  0.033333x  +      -0.000000x^2  +  0.000000x^3; Cubic Spline
2910.0  <= x <  2970.0; y_97    =   70.0 + -0.033333x  +       0.000000x^2  + -0.000000x^3; Cubic Spline
2940.0  <= x <  3000.0; y_98    =   69.0 +  0.175000x  +       0.000000x^2  + -0.000039x^3; Cubic Spline
2970.0  <= x <  3030.0; y_99    =   70.0 +  0.525000x  +      -0.000000x^2  +  0.000002x^3; Cubic Spline
3000.0  <= x <  3060.0; y_100   =   86.0 + -0.625000x  +       0.000000x^2  +  0.000016x^3; Cubic Spline
3030.0  <= x <  3090.0; y_101   =   69.0 +  0.341667x  +      -0.000000x^2  + -0.000002x^3; Cubic Spline
3060.0  <= x <  3120.0; y_102   =   79.0 + -0.200000x  +       0.000000x^2  + -0.000028x^3; Cubic Spline
3090.0  <= x <  3150.0; y_103   =   70.0 +  0.808333x  +       0.000000x^2  + -0.000030x^3; Cubic Spline
3120.0  <= x <  3180.0; y_104   =   91.0 + -0.441667x  +      -0.000000x^2  +  0.000049x^3; Cubic Spline
3150.0  <= x <  3210.0; y_105   =   83.0 + -0.533333x  +       0.000000x^2  +  0.000028x^3; Cubic Spline
3180.0  <= x <  3240.0; y_106   =   70.0 + -0.025000x  +      -0.000000x^2  +  0.000016x^3; Cubic Spline
3210.0  <= x <  3270.0; y_107   =   71.0 + -0.258333x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
3240.0  <= x <  3300.0; y_108   =   63.0 +  0.450000x  +       0.000000x^2  + -0.000042x^3; Cubic Spline
3270.0  <= x <  3330.0; y_109   =   72.0 +  0.441667x  +       0.000000x^2  + -0.000039x^3; Cubic Spline
3300.0  <= x <  3360.0; y_110   =   81.0 +  0.166667x  +      -0.000000x^2  +  0.000028x^3; Cubic Spline
3330.0  <= x <  3390.0; y_111   =   89.0 + -0.691667x  +       0.000000x^2  +  0.000007x^3; Cubic Spline
3360.0  <= x <  3420.0; y_112   =   69.0 +  0.725000x  +       0.000000x^2  + -0.000044x^3; Cubic Spline
3390.0  <= x <  3450.0; y_113   =   86.0 +  0.066667x  +      -0.000000x^2  +  0.000000x^3; Cubic Spline
3420.0  <= x <  3480.0; y_114   =   88.0 + -0.241667x  +      -0.000000x^2  +  0.000049x^3; Cubic Spline
3450.0  <= x <  3510.0; y_115   =   86.0 + -0.758333x  +       0.000000x^2  +  0.000035x^3; Cubic Spline
3480.0  <= x <  3540.0; y_116   =   67.0 +  0.158333x  +      -0.000000x^2  + -0.000007x^3; Cubic Spline
3510.0  <= x <  3570.0; y_117   =   71.0 + -0.041667x  +       0.000000x^2  +  0.000002x^3; Cubic Spline
3540.0  <= x <  3600.0; y_118   =   70.0 + -0.025000x  +       0.000000x^2  +  0.000007x^3; Cubic Spline
3570.0  <= x <  3630.0; y_119   =   70.0 + -0.091667x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
3600.0  <= x <  3660.0; y_120   =   67.0 +  0.266667x  +       0.000000x^2  + -0.000037x^3; Cubic Spline
3630.0  <= x <  3690.0; y_121   =   71.0 +  0.408333x  +      -0.000000x^2  + -0.000002x^3; Cubic Spline
3660.0  <= x <  3720.0; y_122   =   83.0 + -0.483333x  +      -0.000000x^2  +  0.000032x^3; Cubic Spline
3690.0  <= x <  3750.0; y_123   =   72.0 + -0.116667x  +       0.000000x^2  +  0.000005x^3; Cubic Spline
3720.0  <= x <  3780.0; y_124   =   69.0 +  0.191667x  +       0.000000x^2  + -0.000044x^3; Cubic Spline
3750.0  <= x <  3810.0; y_125   =   70.0 +  0.608333x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
3780.0  <= x <  3840.0; y_126   =   88.0 + -0.725000x  +       0.000000x^2  +  0.000044x^3; Cubic Spline
3810.0  <= x <  3870.0; y_127   =   71.0 + -0.058333x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
3840.0  <= x <  3900.0; y_128   =   69.0 +  0.283333x  +      -0.000000x^2  + -0.000051x^3; Cubic Spline
3870.0  <= x <  3930.0; y_129   =   72.0 +  0.758333x  +       0.000000x^2  + -0.000035x^3; Cubic Spline
3900.0  <= x <  3960.0; y_130   =   91.0 + -0.333333x  +      -0.000000x^2  +  0.000056x^3; Cubic Spline
3930.0  <= x <  3990.0; y_131   =   87.0 + -0.800000x  +       0.000000x^2  +  0.000037x^3; Cubic Spline
3960.0  <= x <  4020.0; y_132   =   67.0 +  0.308333x  +       0.000000x^2  + -0.000049x^3; Cubic Spline
3990.0  <= x <  4050.0; y_133   =   71.0 +  0.591667x  +      -0.000000x^2  + -0.000007x^3; Cubic Spline
4020.0  <= x <  4080.0; y_134   =   88.0 + -0.608333x  +      -0.000000x^2  +  0.000039x^3; Cubic Spline
4050.0  <= x <  4110.0; y_135   =   74.0 + -0.116667x  +       0.000000x^2  +  0.000005x^3; Cubic Spline
4080.0  <= x <  4140.0; y_136   =   71.0 +  0.016667x  +      -0.000000x^2  +  0.000005x^3; Cubic Spline
4110.0  <= x <  4170.0; y_137   =   72.0 + -0.050000x  +       0.000000x^2  + -0.000014x^3; Cubic Spline
4140.0  <= x <  4200.0; y_138   =   69.0 +  0.466667x  +      -0.000000x^2  + -0.000046x^3; Cubic Spline
4170.0  <= x <  4230.0; y_139   =   78.0 +  0.300000x  +       0.000000x^2  +  0.000019x^3; Cubic Spline
4200.0  <= x <  4260.0; y_140   =   89.0 + -0.800000x  +      -0.000000x^2  +  0.000046x^3; Cubic Spline
4230.0  <= x <  4290.0; y_141   =   70.0 +  0.058333x  +       0.000000x^2  + -0.000025x^3; Cubic Spline
4260.0  <= x <  4320.0; y_142   =   69.0 +  0.575000x  +       0.000000x^2  + -0.000049x^3; Cubic Spline
4290.0  <= x <  4350.0; y_143   =   81.0 +  0.333333x  +       0.000000x^2  + -0.000009x^3; Cubic Spline
4320.0  <= x <  4380.0; y_144   =   90.0 + -0.333333x  +      -0.000000x^2  +  0.000046x^3; Cubic Spline
4350.0  <= x <  4410.0; y_145   =   85.0 + -0.575000x  +       0.000000x^2  +  0.000021x^3; Cubic Spline
4380.0  <= x <  4440.0; y_146   =   70.0 +  0.325000x  +       0.000000x^2  + -0.000035x^3; Cubic Spline
4410.0  <= x <  4470.0; y_147   =   76.0 +  0.200000x  +       0.000000x^2  +  0.000028x^3; Cubic Spline
4440.0  <= x <  4500.0; y_148   =   85.0 + -0.683333x  +      -0.000000x^2  + -0.000005x^3; Cubic Spline
4470.0  <= x <  4530.0; y_149   =   64.0 +  0.800000x  +      -0.000000x^2  + -0.000009x^3; Cubic Spline
4500.0  <= x <  4560.0; y_150   =   87.0 + -0.750000x  +       0.000000x^2  +  0.000032x^3; Cubic Spline
4530.0  <= x <  4590.0; y_151   =   68.0 +  0.350000x  +      -0.000000x^2  + -0.000051x^3; Cubic Spline
4560.0  <= x <  4620.0; y_152   =   73.0 +  0.525000x  +       0.000000x^2  +  0.000012x^3; Cubic Spline
4590.0  <= x <  4650.0; y_153   =   90.0 + -0.900000x  +      -0.000000x^2  +  0.000046x^3; Cubic Spline
4620.0  <= x <  4680.0; y_154   =   68.0 +  0.091667x  +      -0.000000x^2  + -0.000007x^3; Cubic Spline
4650.0  <= x <  4710.0; y_155   =   70.0 +  0.058333x  +      -0.000000x^2  + -0.000007x^3; Cubic Spline
4680.0  <= x <  4740.0; y_156   =   71.0 +  0.050000x  +      -0.000000x^2  +  0.000005x^3; Cubic Spline
4710.0  <= x <  4770.0; y_157   =   73.0 + -0.008333x  +       0.000000x^2  + -0.000035x^3; Cubic Spline
4740.0  <= x <  4800.0; y_158   =   69.0 +  0.658333x  +      -0.000000x^2  + -0.000007x^3; Cubic Spline
4770.0  <= x <  4830.0; y_159   =   88.0 + -0.641667x  +       0.000000x^2  +  0.000030x^3; Cubic Spline
4800.0  <= x <  4860.0; y_160   =   72.0 +  0.266667x  +      -0.000000x^2  + -0.000046x^3; Cubic Spline
4830.0  <= x <  4890.0; y_161   =   75.0 +  0.533333x  +      -0.000000x^2  +  0.000009x^3; Cubic Spline
4860.0  <= x <  4920.0; y_162   =   92.0 + -0.733333x  +       0.000000x^2  +  0.000009x^3; Cubic Spline
4890.0  <= x <  4950.0; y_163   =   71.0 +  0.708333x  +       0.000000x^2  + -0.000039x^3; Cubic Spline
4920.0  <= x <  4980.0; y_164   =   88.0 + -0.141667x  +      -0.000000x^2  +  0.000039x^3; Cubic Spline
4950.0  <= x <  5010.0; y_165   =   88.0 + -0.733333x  +       0.000000x^2  +  0.000046x^3; Cubic Spline
4980.0  <= x <  5040.0; y_166   =   71.0 +  0.075000x  +       0.000000x^2  + -0.000049x^3; Cubic Spline
5010.0  <= x <  5070.0; y_167   =   68.0 +  0.841667x  +      -0.000000x^2  + -0.000012x^3; Cubic Spline
5040.0  <= x <  5100.0; y_168   =   92.0 + -0.641667x  +       0.000000x^2  +  0.000002x^3; Cubic Spline
5070.0  <= x <  5130.0; y_169   =   73.0 +  0.741667x  +      -0.000000x^2  + -0.000039x^3; Cubic Spline
5100.0  <= x <  5160.0; y_170   =   91.0 + -0.200000x  +      -0.000000x^2  +  0.000046x^3; Cubic Spline
5130.0  <= x <  5190.0; y_171   =   90.0 + -0.775000x  +       0.000000x^2  +  0.000039x^3; Cubic Spline
5160.0  <= x <  5220.0; y_172   =   71.0 +  0.241667x  +       0.000000x^2  + -0.000049x^3; Cubic Spline
5190.0  <= x <  5250.0; y_173   =   73.0 +  0.750000x  +      -0.000000x^2  + -0.000032x^3; Cubic Spline
5220.0  <= x <  5280.0; y_174   =   92.0 + -0.366667x  +      -0.000000x^2  +  0.000056x^3; Cubic Spline
5250.0  <= x <  5310.0; y_175   =   87.0 + -0.766667x  +       0.000000x^2  +  0.000037x^3; Cubic Spline
5280.0  <= x <  5340.0; y_176   =   68.0 +  0.275000x  +       0.000000x^2  + -0.000049x^3; Cubic Spline
5310.0  <= x <  5370.0; y_177   =   71.0 +  0.716667x  +       0.000000x^2  + -0.000032x^3; Cubic Spline
5340.0  <= x <  5400.0; y_178   =   89.0 + -0.291667x  +       0.000000x^2  +  0.000044x^3; Cubic Spline
5370.0  <= x <  5430.0; y_179   =   85.0 + -0.608333x  +       0.000000x^2  +  0.000030x^3; Cubic Spline
5400.0  <= x <  5460.0; y_180   =   70.0 +  0.216667x  +       0.000000x^2  + -0.000042x^3; Cubic Spline
5430.0  <= x <  5490.0; y_181   =   72.0 +  0.691667x  +      -0.000000x^2  + -0.000044x^3; Cubic Spline
5460.0  <= x <  5520.0; y_182   =   88.0 + -0.025000x  +       0.000000x^2  +  0.000035x^3; Cubic Spline
5490.0  <= x <  5550.0; y_183   =   91.0 + -0.758333x  +      -0.000000x^2  +  0.000044x^3; Cubic Spline
5520.0  <= x <  5580.0; y_184   =   73.0 +  0.091667x  +       0.000000x^2  + -0.000035x^3; Cubic Spline
5550.0  <= x <  5610.0; y_185   =   72.0 +  0.558333x  +      -0.000000x^2  + -0.000007x^3; Cubic Spline
5580.0  <= x <  5640.0; y_186   =   88.0 + -0.433333x  +       0.000000x^2  +  0.000000x^3; Cubic Spline
5610.0  <= x <  5670.0; y_187   =   75.0 +  0.425000x  +      -0.000000x^2  +  0.000002x^3; Cubic Spline
5640.0  <= x <  5700.0; y_188   =   88.0 + -0.441667x  +       0.000000x^2  + -0.000007x^3; Cubic Spline
5670.0  <= x <  5730.0; y_189   =   74.0 +  0.650000x  +      -0.000000x^2  + -0.000023x^3; Cubic Spline
5700.0  <= x <  5760.0; y_190   =   91.0 + -0.400000x  +      -0.000000x^2  +  0.000046x^3; Cubic Spline
5730.0  <= x <  5790.0; y_191   =   84.0 + -0.500000x  +      -0.000000x^2  +  0.000019x^3; Cubic Spline
5760.0  <= x <  5820.0; y_192   =   71.0 +  0.266667x  +       0.000000x^2  + -0.000028x^3; Cubic Spline
5790.0  <= x <  5850.0; y_193   =   76.0 +  0.216667x  +       0.000000x^2  +  0.000005x^3; Cubic Spline
5820.0  <= x <  5880.0; y_194   =   83.0 + -0.250000x  +       0.000000x^2  + -0.000014x^3; Cubic Spline
5850.0  <= x <  5910.0; y_195   =   74.0 +  0.591667x  +       0.000000x^2  + -0.000025x^3; Cubic Spline
5880.0  <= x <  5940.0; y_196   =   89.0 + -0.283333x  +      -0.000000x^2  +  0.000042x^3; Cubic Spline
5910.0  <= x <  5970.0; y_197   =   85.0 + -0.550000x  +      -0.000000x^2  +  0.000023x^3; Cubic Spline
5940.0  <= x <  6000.0; y_198   =   71.0 +  0.291667x  +       0.000000x^2  + -0.000044x^3; Cubic Spline
5970.0  <= x <  6030.0; y_199   =   75.0 +  0.550000x  +      -0.000000x^2  + -0.000014x^3; Cubic Spline
6000.0  <= x <  6060.0; y_200   =   90.0 + -0.450000x  +      -0.000000x^2  +  0.000042x^3; Cubic Spline
6030.0  <= x <  6090.0; y_201   =   81.0 + -0.250000x  +       0.000000x^2  + -0.000014x^3; Cubic Spline
6060.0  <= x <  6120.0; y_202   =   72.0 +  0.641667x  +      -0.000000x^2  + -0.000039x^3; Cubic Spline
6090.0  <= x <  6150.0; y_203   =   87.0 + -0.041667x  +      -0.000000x^2  +  0.000030x^3; Cubic Spline
6120.0  <= x <  6180.0; y_204   =   89.0 + -0.641667x  +       0.000000x^2  +  0.000039x^3; Cubic Spline
6150.0  <= x <  6210.0; y_205   =   74.0 + -0.141667x  +      -0.000000x^2  +  0.000021x^3; Cubic Spline
6180.0  <= x <  6240.0; y_206   =   72.0 + -0.083333x  +       0.000000x^2  + -0.000042x^3; Cubic Spline
6210.0  <= x <  6270.0; y_207   =   65.0 +  0.966667x  +       0.000000x^2  + -0.000037x^3; Cubic Spline
6240.0  <= x <  6300.0; y_208   =   90.0 + -0.500000x  +      -0.000000x^2  +  0.000056x^3; Cubic Spline
6270.0  <= x <  6330.0; y_209   =   81.0 + -0.558333x  +       0.000000x^2  +  0.000016x^3; Cubic Spline
6300.0  <= x <  6360.0; y_210   =   66.0 +  0.316667x  +      -0.000000x^2  + -0.000014x^3; Cubic Spline
6330.0  <= x <  6390.0; y_211   =   74.0 + -0.075000x  +       0.000000x^2  +  0.000002x^3; Cubic Spline
6360.0  <= x <  6420.0; y_212   =   72.0 +  0.133333x  +      -0.000000x^2  + -0.000028x^3; Cubic Spline
6390.0  <= x <  6450.0; y_213   =   73.0 +  0.383333x  +       0.000000x^2  + -0.000005x^3; Cubic Spline
6420.0  <= x <  6480.0; y_214   =   84.0 + -0.258333x  +      -0.000000x^2  + -0.000012x^3; Cubic Spline
6450.0  <= x <  6510.0; y_215   =   75.0 +  0.550000x  +       0.000000x^2  + -0.000023x^3; Cubic Spline
6480.0  <= x <  6540.0; y_216   =   89.0 + -0.283333x  +      -0.000000x^2  +  0.000042x^3; Cubic Spline
6510.0  <= x <  6570.0; y_217   =   85.0 + -0.550000x  +      -0.000000x^2  +  0.000023x^3; Cubic Spline
6540.0  <= x <  6600.0; y_218   =   71.0 +  0.141667x  +      -0.000000x^2  + -0.000002x^3; Cubic Spline
6570.0  <= x <  6630.0; y_219   =   75.0 + -0.066667x  +       0.000000x^2  + -0.000009x^3; Cubic Spline
6600.0  <= x <  6660.0; y_220   =   72.0 +  0.333333x  +       0.000000x^2  + -0.000028x^3; Cubic Spline
6630.0  <= x <  6690.0; y_221   =   79.0 +  0.175000x  +      -0.000000x^2  + -0.000002x^3; Cubic Spline
6660.0  <= x <  6720.0; y_222   =   84.0 + -0.241667x  +       0.000000x^2  +  0.000030x^3; Cubic Spline
6690.0  <= x <  6750.0; y_223   =   80.0 + -0.333333x  +       0.000000x^2  +  0.000009x^3; Cubic Spline
6720.0  <= x <  6780.0; y_224   =   71.0 +  0.300000x  +      -0.000000x^2  + -0.000037x^3; Cubic Spline
6750.0  <= x <  6810.0; y_225   =   76.0 +  0.400000x  +       0.000000x^2  + -0.000009x^3; Cubic Spline
6780.0  <= x <  6840.0; y_226   =   87.0 + -0.200000x  +      -0.000000x^2  + -0.000009x^3; Cubic Spline
6810.0  <= x <  6870.0; y_227   =   80.0 +  0.358333x  +       0.000000x^2  +  0.000002x^3; Cubic Spline
